hm	hc	α	c	v	r	z	pd	w	obj	status
1.0	3.0	0.1	1.0	0.2	0.5	0.035602646483410015	10.630166726564866	2.5905963631210733	22.455791237948848	LOCALLY_SOLVED
1.5	3.0	0.1	1.0	0.2	0.5	0.035634292176584266	10.647133748468088	2.582550668973452	22.30539412946952	LOCALLY_SOLVED
2.0	3.0	0.1	1.0	0.2	0.5	0.03566566872865848	10.664102226050494	2.5745065390647723	22.155496769105937	LOCALLY_SOLVED
1.0	3.5	0.1	1.0	0.2	0.5	0.03563429217658403	10.597133748468085	2.5825506689734525	22.305394129469526	LOCALLY_SOLVED
1.5	3.5	0.1	1.0	0.2	0.5	0.03566566872865832	10.614102226050491	2.5745065390647723	22.15549676910594	LOCALLY_SOLVED
2.0	3.5	0.1	1.0	0.2	0.5	0.03569676963915122	10.63107216896202	2.5664639856462625	22.006099155832754	LOCALLY_SOLVED
1.0	4.0	0.1	1.0	0.2	0.5	0.0356656687286586	10.564102226050494	2.5745065390647732	22.155496769105937	LOCALLY_SOLVED
1.5	4.0	0.1	1.0	0.2	0.5	0.03569676963915095	10.581072168962018	2.566463985646263	22.006099155832754	LOCALLY_SOLVED
2.0	4.0	0.1	1.0	0.2	0.5	0.03572758828235276	10.598043586924797	2.558423021091415	21.85720128862759	LOCALLY_SOLVED
1.0	3.0	0.15	1.0	0.2	0.5	0.035727588282352826	10.548043586924797	2.5584230210914143	21.857201288627596	LOCALLY_SOLVED
1.5	3.0	0.15	1.0	0.2	0.5	0.03577327218714799	10.573503501035994	2.5463645807503026	21.634791509468936	LOCALLY_SOLVED
2.0	3.0	0.15	1.0	0.2	0.5	0.035818282418712745	10.598966789433513	2.5343097862080954	21.41350615324654	LOCALLY_SOLVED
1.0	3.5	0.15	1.0	0.2	0.5	0.03577327218714798	10.498503501035993	2.546364580750302	21.634791509468926	LOCALLY_SOLVED
1.5	3.5	0.15	1.0	0.2	0.5	0.03581828241871347	10.523966789433512	2.5343097862080937	21.41350615324654	LOCALLY_SOLVED
2.0	3.5	0.15	1.0	0.2	0.5	0.0358625949506051	10.549433485855852	2.522258680817389	21.19334521655598	LOCALLY_SOLVED
1.0	4.0	0.15	1.0	0.2	0.5	0.03581828241871328	10.448966789433513	2.534309786208094	21.413506153246544	LOCALLY_SOLVED
1.5	4.0	0.15	1.0	0.2	0.5	0.035862594950604745	10.474433485855851	2.5222586808173895	21.19334521655598	LOCALLY_SOLVED
2.0	4.0	0.15	1.0	0.2	0.5	0.035906185054780784	10.499903624417337	2.5102113085872584	20.974308696015196	LOCALLY_SOLVED
1.0	3.0	0.1	1.5	0.2	0.5	-0.02001059876007161	10.792089435733619	2.775510606896717	20.755373549164492	LOCALLY_SOLVED
1.5	3.0	0.1	1.5	0.2	0.5	-0.020170496865015587	10.809002245480718	2.7674913793710947	20.61009132597056	LOCALLY_SOLVED
2.0	3.0	0.1	1.5	0.2	0.5	-0.02033192391306481	10.825915967011726	2.759473724294255	20.46530966287983	LOCALLY_SOLVED
1.0	3.5	0.1	1.5	0.2	0.5	-0.020170496865015472	10.759002245480717	2.7674913793710947	20.610091325970572	LOCALLY_SOLVED
1.5	3.5	0.1	1.5	0.2	0.5	-0.02033192391306507	10.775915967011725	2.759473724294255	20.465309662879836	LOCALLY_SOLVED
2.0	3.5	0.1	1.5	0.2	0.5	-0.020494898481272204	10.792830603319839	2.7514576528669843	20.321028567115253	LOCALLY_SOLVED
1.0	4.0	0.1	1.5	0.2	0.5	-0.02033192391306453	10.725915967011726	2.759473724294253	20.46530966287983	LOCALLY_SOLVED
1.5	4.0	0.1	1.5	0.2	0.5	-0.020494898481271628	10.742830603319838	2.751457652866982	20.321028567115246	LOCALLY_SOLVED
2.0	4.0	0.1	1.5	0.2	0.5	-0.02065943942393835	10.759746157371536	2.7434431763892824	20.17724804601129	LOCALLY_SOLVED
1.0	3.0	0.15	1.5	0.2	0.5	-0.020659439423937425	10.709746157371534	2.7434431763892797	20.177248046011286	LOCALLY_SOLVED
1.5	3.0	0.15	1.5	0.2	0.5	-0.02090922972950949	10.735121215638152	2.731424477168755	19.96251585816814	LOCALLY_SOLVED
2.0	3.0	0.15	1.5	0.2	0.5	-0.02116265330481087	10.76049835522414	2.719409431162582	19.74891000572364	LOCALLY_SOLVED
1.0	3.5	0.15	1.5	0.2	0.5	-0.020909229729509603	10.660121215638153	2.7314244771687557	19.96251585816814	LOCALLY_SOLVED
1.5	3.5	0.15	1.5	0.2	0.5	-0.02116265330481057	10.68549835522414	2.719409431162582	19.748910005723644	LOCALLY_SOLVED
2.0	3.5	0.15	1.5	0.2	0.5	-0.02141977744606397	10.710877585761457	2.707398077794368	19.536430514906407	LOCALLY_SOLVED
1.0	4.0	0.15	1.5	0.2	0.5	-0.021162653304810472	10.610498355224141	2.7194094311625823	19.74891000572365	LOCALLY_SOLVED
1.5	4.0	0.15	1.5	0.2	0.5	-0.021419777446063833	10.635877585761458	2.707398077794368	19.536430514906407	LOCALLY_SOLVED
2.0	4.0	0.15	1.5	0.2	0.5	-0.021680670983428636	10.661258916711008	2.695390457015413	19.325077412563182	LOCALLY_SOLVED
1.0	3.0	0.1	2.0	0.2	0.5	-0.07353252422223594	10.95207120560238	2.95883622238633	19.130513069234375	LOCALLY_SOLVED
1.5	3.0	0.1	2.0	0.2	0.5	-0.07387062245581792	10.968920388020152	2.950836661722993	18.990420381949143	LOCALLY_SOLVED
2.0	3.0	0.1	2.0	0.2	0.5	-0.07421139032611396	10.985769869021238	2.9428386421683976	18.850829492051886	LOCALLY_SOLVED
1.0	3.5	0.1	2.0	0.2	0.5	-0.0738706224558182	10.918920388020151	2.950836661722995	18.99042038194915	LOCALLY_SOLVED
1.5	3.5	0.1	2.0	0.2	0.5	-0.07421139032611455	10.93576986902124	2.9428386421683994	18.850829492051883	LOCALLY_SOLVED
2.0	3.5	0.1	2.0	0.2	0.5	-0.07455485715795984	10.952619644227623	2.934842173611323	18.711740418598026	LOCALLY_SOLVED
1.0	4.0	0.1	2.0	0.2	0.5	-0.07421139032611461	10.885769869021242	2.9428386421684	18.850829492051883	LOCALLY_SOLVED
1.5	4.0	0.1	2.0	0.2	0.5	-0.07455485715795981	10.902619644227622	2.934842173611323	18.711740418598026	LOCALLY_SOLVED
2.0	4.0	0.1	2.0	0.2	0.5	-0.07490105268821282	10.919469709125584	2.9268472660152143	18.573153180903304	LOCALLY_SOLVED
1.0	3.0	0.15	2.0	0.2	0.5	-0.07490105268821229	10.869469709125585	2.926847266015214	18.573153180903308	LOCALLY_SOLVED
1.5	3.0	0.15	2.0	0.2	0.5	-0.0754255283756361	10.894745339427667	2.9148578534030887	18.366213309315246	LOCALLY_SOLVED
2.0	3.0	0.15	2.0	0.2	0.5	-0.07595631516797038	10.920021594727094	2.9028720097583114	18.160402679528215	LOCALLY_SOLVED
1.0	3.5	0.15	2.0	0.2	0.5	-0.07542552837563613	10.819745339427667	2.9148578534030887	18.366213309315242	LOCALLY_SOLVED
1.5	3.5	0.15	2.0	0.2	0.5	-0.07595631516796984	10.845021594727095	2.9028720097583096	18.160402679528215	LOCALLY_SOLVED
2.0	3.5	0.15	2.0	0.2	0.5	-0.07649351886252964	10.870298457970206	2.8908897696687523	17.95572136016316	LOCALLY_SOLVED
1.0	4.0	0.15	2.0	0.2	0.5	-0.07595631516797006	10.770021594727096	2.9028720097583105	18.160402679528218	LOCALLY_SOLVED
1.5	4.0	0.15	2.0	0.2	0.5	-0.07649351886253	10.795298457970205	2.890889769668753	17.955721360163157	LOCALLY_SOLVED
2.0	4.0	0.15	2.0	0.2	0.5	-0.07703724752926354	10.82057591132926	2.878911168113722	17.752169421273564	LOCALLY_SOLVED
1.0	3.0	0.1	1.0	0.3	0.5	0.04713442115234406	10.631483643819445	2.587307146184584	22.50276798229297	LOCALLY_SOLVED
1.5	3.0	0.1	1.0	0.3	0.5	0.04720611639447267	10.648463332998103	2.579258371463958	22.352357012346843	LOCALLY_SOLVED
2.0	3.0	0.1	1.0	0.3	0.5	0.04727780266953914	10.665444598385855	2.5712111786538094	22.202445682301587	LOCALLY_SOLVED
1.0	3.5	0.1	1.0	0.3	0.5	0.04720611639447235	10.598463332998104	2.579258371463959	22.352357012346843	LOCALLY_SOLVED
1.5	3.5	0.1	1.0	0.3	0.5	0.04727780266953879	10.615444598385855	2.5712111786538094	22.2024456823016	LOCALLY_SOLVED
2.0	3.5	0.1	1.0	0.3	0.5	0.04734947589218464	10.632427451036255	2.563165580428526	22.05303398996989	LOCALLY_SOLVED
1.0	4.0	0.1	1.0	0.3	0.5	0.04727780266953906	10.565444598385854	2.5712111786538085	22.202445682301587	LOCALLY_SOLVED
1.5	4.0	0.1	1.0	0.3	0.5	0.04734947589218506	10.582427451036256	2.5631655804285254	22.053033989969876	LOCALLY_SOLVED
2.0	4.0	0.1	1.0	0.3	0.5	0.04742113188064174	10.599411902094738	2.5551215895921455	21.9041219331516	LOCALLY_SOLVED
1.0	3.0	0.15	1.0	0.3	0.5	0.04742113188064217	10.549411902094736	2.5551215895921437	21.9041219331516	LOCALLY_SOLVED
1.5	3.0	0.15	1.0	0.3	0.5	0.04752857415856767	10.574891600306312	2.543058645523897	21.681690659667726	LOCALLY_SOLVED
2.0	3.0	0.15	1.0	0.3	0.5	0.04763595313193447	10.60037495856651	2.5309993914346163	21.460383553584897	LOCALLY_SOLVED
1.0	3.5	0.15	1.0	0.3	0.5	0.04752857415856735	10.499891600306313	2.5430586455238973	21.681690659667723	LOCALLY_SOLVED
1.5	3.5	0.15	1.0	0.3	0.5	0.04763595313193429	10.525374958566509	2.5309993914346163	21.460383553584897	LOCALLY_SOLVED
2.0	3.5	0.15	1.0	0.3	0.5	0.047743253400362465	10.55086201567658	2.518943872227523	21.240200607316655	LOCALLY_SOLVED
1.0	4.0	0.15	1.0	0.3	0.5	0.04763595313193413	10.45037495856651	2.5309993914346167	21.4603835535849	LOCALLY_SOLVED
1.5	4.0	0.15	1.0	0.3	0.5	0.04774325340036319	10.475862015676576	2.5189438722275206	21.24020060731667	LOCALLY_SOLVED
2.0	4.0	0.15	1.0	0.3	0.5	0.04785045901874469	10.501352810921725	2.5068921335031455	21.02114181321245	LOCALLY_SOLVED
1.0	3.0	0.1	1.5	0.3	0.5	-0.00930714807599685	10.793717255419494	2.7726132802439323	20.797237605669856	LOCALLY_SOLVED
1.5	3.0	0.1	1.5	0.3	0.5	-0.009432445992272345	10.810643775669185	2.7645924971320897	20.65192685506926	LOCALLY_SOLVED
2.0	3.0	0.1	1.5	0.3	0.5	-0.009559063841949576	10.82757133140043	2.756573311272393	20.507116476161556	LOCALLY_SOLVED
1.0	3.5	0.1	1.5	0.3	0.5	-0.009432445992272205	10.760643775669184	2.7645924971320888	20.651926855069263	LOCALLY_SOLVED
1.5	3.5	0.1	1.5	0.3	0.5	-0.009559063841950004	10.777571331400427	2.7565733112723945	20.507116476161563	LOCALLY_SOLVED
2.0	3.5	0.1	1.5	0.3	0.5	-0.009687018403383273	10.794499926989815	2.7485557343090483	20.36280647437897	LOCALLY_SOLVED
1.0	4.0	0.1	1.5	0.3	0.5	-0.009559063841949768	10.727571331400428	2.7565733112723945	20.507116476161563	LOCALLY_SOLVED
1.5	4.0	0.1	1.5	0.3	0.5	-0.00968701840338293	10.744499926989814	2.748555734309047	20.362806474378967	LOCALLY_SOLVED
2.0	4.0	0.1	1.5	0.3	0.5	-0.009816326712360796	10.761429566805981	2.7405397779924074	20.218996855243226	LOCALLY_SOLVED
1.0	3.0	0.15	1.5	0.3	0.5	-0.009816326712360865	10.711429566805984	2.740539777992408	20.218996855243226	LOCALLY_SOLVED
1.5	3.0	0.15	1.5	0.3	0.5	-0.010012865364454426	10.736825993989433	2.728518908198121	20.004220656306046	LOCALLY_SOLVED
2.0	3.0	0.15	1.5	0.3	0.5	-0.010212548442735506	10.76222479516019	2.716501752041683	19.790570350312596	LOCALLY_SOLVED
1.0	3.5	0.15	1.5	0.3	0.5	-0.010012865364454452	10.661825993989432	2.728518908198121	20.00422065630604	LOCALLY_SOLVED
1.5	3.5	0.15	1.5	0.3	0.5	-0.010212548442735564	10.68722479516019	2.7165017520416828	19.790570350312585	LOCALLY_SOLVED
2.0	3.5	0.15	1.5	0.3	0.5	-0.01041543684695117	10.712625984929119	2.7044883505579964	19.57804595708438	LOCALLY_SOLVED
1.0	4.0	0.15	1.5	0.3	0.5	-0.010212548442734937	10.61222479516019	2.7165017520416805	19.790570350312585	LOCALLY_SOLVED
1.5	4.0	0.15	1.5	0.3	0.5	-0.010415436846950978	10.63762598492912	2.704488350557997	19.578045957084385	LOCALLY_SOLVED
2.0	4.0	0.15	1.5	0.3	0.5	-0.010621592903564656	10.663029577838852	2.692478745347797	19.366647496940836	LOCALLY_SOLVED
1.0	3.0	0.1	2.0	0.3	0.5	-0.06359726316747039	10.953945364086831	2.956286851215441	19.16774659001636	LOCALLY_SOLVED
1.5	3.0	0.1	2.0	0.3	0.5	-0.06390564391008458	10.970808792574868	2.948286963229811	19.02761352238901	LOCALLY_SOLVED
2.0	3.0	0.1	2.0	0.3	0.5	-0.06421652972618964	10.98767264115576	2.940288645768771	18.887982007492504	LOCALLY_SOLVED
1.0	3.5	0.1	2.0	0.3	0.5	-0.0639056439100848	10.920808792574867	2.948286963229812	19.02761352238902	LOCALLY_SOLVED
1.5	3.5	0.1	2.0	0.3	0.5	-0.06421652972619027	10.93767264115576	2.940288645768773	18.88798200749252	LOCALLY_SOLVED
2.0	3.5	0.1	2.0	0.3	0.5	-0.06452994866384897	10.954536906742621	2.9322919091597597	18.748852062228778	LOCALLY_SOLVED
1.0	4.0	0.1	2.0	0.3	0.5	-0.06421652972619034	10.887672641155762	2.940288645768773	18.887982007492518	LOCALLY_SOLVED
1.5	4.0	0.1	2.0	0.3	0.5	-0.06452994866384916	10.904536906742623	2.93229190915976	18.748852062228774	LOCALLY_SOLVED
2.0	4.0	0.1	2.0	0.3	0.5	-0.06484592917082371	10.92140158612949	2.924296763811088	18.610223703735365	LOCALLY_SOLVED
1.0	3.0	0.15	2.0	0.3	0.5	-0.06484592917082384	10.871401586129492	2.9242967638110895	18.610223703735365	LOCALLY_SOLVED
1.5	3.0	0.15	2.0	0.3	0.5	-0.06532476610569006	10.896699373770547	2.9123070523701595	18.40322167926875	LOCALLY_SOLVED
2.0	3.0	0.15	2.0	0.3	0.5	-0.06580953072750625	10.921998073180527	2.9003209806366903	18.197348323871854	LOCALLY_SOLVED
1.0	3.5	0.15	2.0	0.3	0.5	-0.06532476610569014	10.82169937377055	2.912307052370161	18.40322167926875	LOCALLY_SOLVED
1.5	3.5	0.15	2.0	0.3	0.5	-0.06580953072750584	10.846998073180528	2.9003209806366885	18.197348323871847	LOCALLY_SOLVED
2.0	3.5	0.15	2.0	0.3	0.5	-0.06630032432268504	10.872297671937694	2.8883385847815823	17.992603698491088	LOCALLY_SOLVED
1.0	4.0	0.15	2.0	0.3	0.5	-0.0658095307275059	10.771998073180528	2.900320980636689	18.197348323871847	LOCALLY_SOLVED
1.5	4.0	0.15	2.0	0.3	0.5	-0.06630032432268469	10.797297671937693	2.88833858478158	17.99260369849109	LOCALLY_SOLVED
2.0	4.0	0.15	2.0	0.3	0.5	-0.06679725038433444	10.822598156937016	2.876359901401093	17.788987865371432	LOCALLY_SOLVED
1.0	3.0	0.1	1.0	0.4	0.5	0.05892248771644264	10.632754607009964	2.583926874536173	22.5508084663468	LOCALLY_SOLVED
1.5	3.0	0.1	1.0	0.4	0.5	0.05903594494169878	10.649746923098794	2.5758747049554107	22.40038676759058	LOCALLY_SOLVED
2.0	3.0	0.1	1.0	0.4	0.5	0.05914966969547966	10.666740937317533	2.5678241339913095	22.250464617894284	LOCALLY_SOLVED
1.0	3.5	0.1	1.0	0.4	0.5	0.05903594494169902	10.599746923098794	2.5758747049554094	22.400386767590582	LOCALLY_SOLVED
