hm	hc	α	c	v	r	z	pd	w	obj	status
3.0	0.5	0.1	1.0	0.2	0.5	0.03557073802688449	10.863201150762658	2.598643609377243	22.606688095571954	LOCALLY_SOLVED
3.5	0.5	0.1	1.0	0.2	0.5	0.0356026464834102	10.880166726564866	2.590596363121073	22.455791237948844	LOCALLY_SOLVED
4.0	0.5	0.1	1.0	0.2	0.5	0.03563429217658463	10.897133748468086	2.5825506689734508	22.305394129469516	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.2	0.5	0.035602646483410084	10.830166726564865	2.590596363121073	22.45579123794885	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.2	0.5	0.035634292176583995	10.847133748468085	2.582550668973452	22.305394129469523	LOCALLY_SOLVED
4.0	1.0	0.1	1.0	0.2	0.5	0.0356656687286584	10.864102226050493	2.5745065390647723	22.155496769105945	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.2	0.5	0.03563429217658458	10.797133748468084	2.582550668973451	22.30539412946952	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.2	0.5	0.03566566872865915	10.814102226050492	2.5745065390647706	22.15549676910594	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.2	0.5	0.03569676963915155	10.831072168962018	2.566463985646262	22.006099155832754	LOCALLY_SOLVED
3.0	0.5	0.15	1.0	0.2	0.5	0.035681254050244623	10.89758701373418	2.570485064523786	22.08073549414702	LOCALLY_SOLVED
3.5	0.5	0.15	1.0	0.2	0.5	0.035727588282352875	10.923043586924797	2.5584230210914143	21.857201288627596	LOCALLY_SOLVED
4.0	0.5	0.15	1.0	0.2	0.5	0.03577327218714733	10.948503501035997	2.546364580750305	21.63479150946893	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.2	0.5	0.035727588282353284	10.848043586924796	2.5584230210914134	21.857201288627596	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.2	0.5	0.03577327218714733	10.873503501035998	2.546364580750305	21.63479150946893	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.2	0.5	0.03581828241871318	10.898966789433512	2.5343097862080937	21.41350615324654	LOCALLY_SOLVED
