hm	hc	α	c	v	r	z	pd	w	obj	status
1.0	3.0	0.1	1.0	0.2	0.5	0.026409994083482467	10.622723781195916	2.63686492695019	22.436128584363072	LOCALLY_SOLVED
1.5	3.0	0.1	1.0	0.2	0.5	0.021849431419952398	10.635999080482582	2.651994608568723	22.27591343634159	LOCALLY_SOLVED
2.0	3.0	0.1	1.0	0.2	0.5	0.01729143573014269	10.649295525363382	2.6671530508403225	22.116208356318822	LOCALLY_SOLVED
1.0	3.5	0.1	1.0	0.2	0.5	0.026415497475488676	10.589665389060285	2.628804302301097	22.285748235217934	LOCALLY_SOLVED
1.5	3.5	0.1	1.0	0.2	0.5	0.02184157619630989	10.602929567600878	2.643928297196319	22.126041197159417	LOCALLY_SOLVED
2.0	3.5	0.1	1.0	0.2	0.5	0.017270204218456906	10.616214987903838	2.6590812069698466	21.966844222704726	LOCALLY_SOLVED
1.0	4.0	0.1	1.0	0.2	0.5	0.026420592778228485	10.556608294846553	2.6207451411311977	22.135867734390096	LOCALLY_SOLVED
1.5	4.0	0.1	1.0	0.2	0.5	0.021833236421141183	10.569861284151136	2.6358634127699565	21.976668855092473	LOCALLY_SOLVED
2.0	4.0	0.1	1.0	0.2	0.5	0.017248411256078806	10.583135611951723	2.6510107546972854	21.817980034893587	LOCALLY_SOLVED
1.0	3.0	0.15	1.0	0.2	0.5	0.021824403909853272	10.536794237810795	2.627799966307942	21.827796410408325	LOCALLY_SOLVED
1.5	3.0	0.15	1.0	0.2	0.5	0.014927832126392095	10.556696995312466	2.6505234902956327	21.590717102012	LOCALLY_SOLVED
2.0	3.0	0.15	1.0	0.2	0.5	0.008037127640660953	10.576647647198161	2.673312301393866	21.354789149282595	LOCALLY_SOLVED
1.0	3.5	0.15	1.0	0.2	0.5	0.02181021300848473	10.48719600479885	2.6157075171685378	21.605425051603138	LOCALLY_SOLVED
1.5	3.5	0.15	1.0	0.2	0.5	0.014882966290031725	10.507073510214662	2.638418420653315	21.369489340764545	LOCALLY_SOLVED
2.0	3.5	0.15	1.0	0.2	0.5	0.007961525798745091	10.526999239073847	2.661195142052085	21.134705002588888	LOCALLY_SOLVED
1.0	4.0	0.15	1.0	0.2	0.5	0.0217948659649906	10.43760059897727	2.6036183665298633	21.384178463592797	LOCALLY_SOLVED
1.5	4.0	0.15	1.0	0.2	0.5	0.014836676488976491	10.457452616312674	2.6263165275608595	21.1493865197399	LOCALLY_SOLVED
2.0	4.0	0.15	1.0	0.2	0.5	0.007884229868796729	10.47735318907622	2.6490810435226826	20.915745965403904	LOCALLY_SOLVED
1.0	3.0	0.1	1.5	0.2	0.5	-0.028616898860522225	10.784842700835494	2.82193701846496	20.737955120073835	LOCALLY_SOLVED
1.5	3.0	0.1	1.5	0.2	0.5	-0.03307352176947281	10.798161479980065	2.8371700011011436	20.583983181675098	LOCALLY_SOLVED
2.0	3.0	0.1	1.5	0.2	0.5	-0.03752728979381986	10.811500597954774	2.852430364010379	20.430526175626092	LOCALLY_SOLVED
1.0	3.5	0.1	1.5	0.2	0.5	-0.028799596945149098	10.75173170374863	2.813904330972486	20.592694492361126	LOCALLY_SOLVED
1.5	3.5	0.1	1.5	0.2	0.5	-0.03326914231712515	10.765039624376264	2.8291323578064267	20.439233936332453	LOCALLY_SOLVED
2.0	3.5	0.1	1.5	0.2	0.5	-0.03773584588956352	10.778367975156721	2.8443879097075815	20.286288344036922	LOCALLY_SOLVED
1.0	4.0	0.1	1.5	0.2	0.5	-0.028983935672660114	10.718621477233624	2.8058731313737058	20.447934542603832	LOCALLY_SOLVED
1.5	4.0	0.1	1.5	0.2	0.5	-0.03346647809202925	10.731918472570905	2.8210961728500594	20.29498543521239	LOCALLY_SOLVED
2.0	4.0	0.1	1.5	0.2	0.5	-0.03794619216314237	10.745235989919172	2.8363468852995823	20.142551323192734	LOCALLY_SOLVED
1.0	3.0	0.15	1.5	0.2	0.5	-0.0336655490762882	10.698798025796727	2.8130614564940557	20.151237687041128	LOCALLY_SOLVED
1.5	3.0	0.15	1.5	0.2	0.5	-0.04040367561031523	10.718765651674998	2.83594061172155	19.923547303005748	LOCALLY_SOLVED
2.0	3.0	0.15	1.5	0.2	0.5	-0.04713527233509049	10.738779333948278	2.8588818919833385	19.697019261410333	LOCALLY_SOLVED
1.0	3.5	0.15	1.5	0.2	0.5	-0.03396745349867697	10.649118680152709	2.8010121582557383	19.93655499596625	LOCALLY_SOLVED
1.5	3.5	0.15	1.5	0.2	0.5	-0.04073524639786322	10.669061642663097	2.823880362057849	19.71001580518334	LOCALLY_SOLVED
2.0	3.5	0.15	1.5	0.2	0.5	-0.0474965545402499	10.689050973949414	2.8468111889022656	19.484639096461688	LOCALLY_SOLVED
1.0	4.0	0.15	1.5	0.2	0.5	-0.034273377503326104	10.599440927293744	2.788966223004606	19.72299904940912	LOCALLY_SOLVED
1.5	4.0	0.15	1.5	0.2	0.5	-0.04107109800218022	10.619358996179704	2.8118233776579244	19.497611283622085	LOCALLY_SOLVED
2.0	4.0	0.15	1.5	0.2	0.5	-0.04786238072212864	10.639323748992885	2.834743659187186	19.273386141283922	LOCALLY_SOLVED
1.0	3.0	0.1	2.0	0.2	0.5	-0.08158633939956077	10.945041475341027	3.005422519002639	19.115116392590362	LOCALLY_SOLVED
1.5	3.0	0.1	2.0	0.2	0.5	-0.08594284189339318	10.95840489249485	3.0207531957989104	18.967349886868643	LOCALLY_SOLVED
2.0	3.0	0.1	2.0	0.2	0.5	-0.09029623660296911	10.9717878905706	3.0361099496436403	18.820102808272313	LOCALLY_SOLVED
1.0	3.5	0.1	2.0	0.2	0.5	-0.08194416459522531	10.911868603745454	2.9974109319333	18.975049039874502	LOCALLY_SOLVED
