hr	hc	α	c	v	r	z	pd	w	obj	status
3.0	0.5	0.1	1.0	0.2	0.5	0.06376486717249283	10.886572507951438	2.460850887939049	22.66544500513498	LOCALLY_SOLVED
3.5	0.5	0.1	1.0	0.2	0.5	0.06869287846485116	10.90769939757268	2.4300604297856143	22.524222250125526	LOCALLY_SOLVED
4.0	0.5	0.1	1.0	0.2	0.5	0.07367870208689235	10.928908321963924	2.3993398109154698	22.383459441551466	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.2	0.5	0.06387777452723879	10.853619927413575	2.4528542651269243	22.51449490141953	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.2	0.5	0.06881995677273499	10.874763439072499	2.4220751625943175	22.373762058039866	LOCALLY_SOLVED
4.0	1.0	0.1	1.0	0.2	0.5	0.0738202190948408	10.895989466865927	2.391366339065412	22.233488841312962	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.2	0.5	0.06399084864378933	10.820669308049009	2.4448595437620453	22.364044218622958	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.2	0.5	0.06894727282847457	10.841829549443029	2.414091878770847	22.22380122243316	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.2	0.5	0.07396204635631617	10.863072792201226	2.3833949362821794	22.084017530202786	LOCALLY_SOLVED
3.0	0.5	0.15	1.0	0.2	0.5	0.07880105611633628	10.933750174063102	2.3647100686906803	22.168351089389798	LOCALLY_SOLVED
3.5	0.5	0.15	1.0	0.2	0.5	0.08648980872410807	10.965864234272534	2.3188852487652243	21.95911213970094	LOCALLY_SOLVED
4.0	0.5	0.15	1.0	0.2	0.5	0.09431406300565479	10.99817810394681	2.273233732377919	21.750887608068126	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.2	0.5	0.07903582721013414	10.884400870167333	2.3527706634095256	21.94469069126911	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.2	0.5	0.08675856922849887	10.916556164036647	2.3069748954694758	21.736551423768063	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.2	0.5	0.09461774536377623	10.948913062072288	2.2613541093660743	21.529425257894612	LOCALLY_SOLVED
3.0	1.5	0.15	1.0	0.2	0.5	0.07927145857030087	10.835056770457262	2.340836155249608	21.722153522298257	LOCALLY_SOLVED
3.5	1.5	0.15	1.0	0.2	0.5	0.0870284476060445	10.867253708861268	2.2950697620863996	21.5151136829645	LOCALLY_SOLVED
4.0	1.5	0.15	1.0	0.2	0.5	0.09492281060924142	10.89965406792042	2.2494800509944746	21.30908561049871	LOCALLY_SOLVED
3.0	0.5	0.1	1.5	0.2	0.5	0.006550198518507899	11.047918447682177	2.645198136862095	20.953187219714092	LOCALLY_SOLVED
3.5	0.5	0.1	1.5	0.2	0.5	0.010971198050176018	11.068873433237178	2.6143271772134895	20.815941458117344	LOCALLY_SOLVED
4.0	0.5	0.1	1.5	0.2	0.5	0.015443419322566057	11.089905878487974	2.5835208077703147	20.679152339068374	LOCALLY_SOLVED
3.0	1.0	0.1	1.5	0.2	0.5	0.0064626200756545005	11.014907055168404	2.637222997940682	20.807337077485442	LOCALLY_SOLVED
3.5	1.0	0.1	1.5	0.2	0.5	0.01089471451314115	11.035877152423016	2.606362416126775	20.67057968737023	LOCALLY_SOLVED
4.0	1.0	0.1	1.5	0.2	0.5	0.015378248471789483	11.056925148296191	2.5755668136258763	20.534278636982375	LOCALLY_SOLVED
3.0	1.5	0.1	1.5	0.2	0.5	0.00637387832999127	10.98189703413836	2.629249715318566	20.66198711297662	LOCALLY_SOLVED
3.5	1.5	0.1	1.5	0.2	0.5	0.010817111907989332	11.002882334261779	2.5983995813647045	20.525718031101196	LOCALLY_SOLVED
4.0	1.5	0.1	1.5	0.2	0.5	0.015312003836162196	11.023945975316062	2.567614819022135	20.389904983671734	LOCALLY_SOLVED
3.0	0.5	0.15	1.5	0.2	0.5	0.01994074858667516	11.094534904001506	2.548809099060016	20.470562192531613	LOCALLY_SOLVED
3.5	0.5	0.15	1.5	0.2	0.5	0.02683401234861201	11.126366916203308	2.5028360911036214	20.267272760503825	LOCALLY_SOLVED
4.0	0.5	0.15	1.5	0.2	0.5	0.03384730507098442	11.158387452652349	2.4570230838853897	20.064992185974745	LOCALLY_SOLVED
3.0	1.0	0.15	1.5	0.2	0.5	0.01985913589164446	11.045089672718555	2.5368971963633618	20.25454574288467	LOCALLY_SOLVED
