hm	hc	α	c	v	z	pc	ζ	obj	status
3.0	1.0	0.05	0.5	0.2	0.9275558300236973	8.632239967132595	-2.481521066268223e-9	37.95103257489399	LOCALLY_SOLVED
3.5	1.0	0.05	0.5	0.2	0.9274462991089671	8.644736658434795	-2.481520783936048e-9	37.831392750183475	LOCALLY_SOLVED
4.0	1.0	0.05	0.5	0.2	0.9273364363529478	8.657233334691274	-2.481520461079276e-9	37.711940475216174	LOCALLY_SOLVED
4.5	1.0	0.05	0.5	0.2	0.9272262402444963	8.669729995810636	-2.4815200969779283e-9	37.59267575021843	LOCALLY_SOLVED
5.0	1.0	0.05	0.5	0.2	0.9271157092632741	8.682226641700792	-2.481519690896781e-9	37.473598575418	LOCALLY_SOLVED
3.0	1.5	0.05	0.5	0.2	0.9274462991089671	8.619736658434796	-2.481520783936048e-9	37.83139275018349	LOCALLY_SOLVED
3.5	1.5	0.05	0.5	0.2	0.9273364363529478	8.632233334691273	-2.4815204610784288e-9	37.711940475216174	LOCALLY_SOLVED
4.0	1.5	0.05	0.5	0.2	0.9272262402444963	8.644729995810636	-2.4815200969779283e-9	37.59267575021844	LOCALLY_SOLVED
4.5	1.5	0.05	0.5	0.2	0.9271157092632744	8.657226641700793	-2.481519690898475e-9	37.47359857541801	LOCALLY_SOLVED
5.0	1.5	0.05	0.5	0.2	0.9270048418796772	8.669723272268957	-2.4815192420929856e-9	37.35470895104403	LOCALLY_SOLVED
3.0	2.0	0.05	0.5	0.2	0.9273364363529478	8.607233334691273	-2.481520461079276e-9	37.711940475216174	LOCALLY_SOLVED
3.5	2.0	0.05	0.5	0.2	0.9272262402444963	8.619729995810637	-2.4815200969779283e-9	37.59267575021843	LOCALLY_SOLVED
4.0	2.0	0.05	0.5	0.2	0.9271157092632742	8.632226641700793	-2.481519690898475e-9	37.47359857541801	LOCALLY_SOLVED
4.5	2.0	0.05	0.5	0.2	0.9270048418796772	8.644723272268957	-2.4815192420929856e-9	37.35470895104403	LOCALLY_SOLVED
5.0	2.0	0.05	0.5	0.2	0.9268936365547654	8.657219887421629	-2.481518749806754e-9	37.23600687732702	LOCALLY_SOLVED
3.0	1.0	0.1	0.5	0.2	0.9266702058781251	8.682213071102927	-2.481517631685147e-9	36.99916538279311	LOCALLY_SOLVED
3.5	1.0	0.1	0.5	0.2	0.9264454047323776	8.707206191982298	-2.4815163301936127e-9	36.76307409368888	LOCALLY_SOLVED
4.0	1.0	0.1	0.5	0.2	0.9262192204625275	8.732199249285593	-2.4815148387744216e-9	36.52773301190994	LOCALLY_SOLVED
4.5	1.0	0.1	0.5	0.2	0.9259916402571812	8.757192242226706	-2.4815131506352166e-9	36.29314213937536	LOCALLY_SOLVED
5.0	1.0	0.1	0.5	0.2	0.925762651146119	8.782185170007322	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
3.0	1.5	0.1	0.5	0.2	0.9264454047323776	8.657206191982297	-2.4815163301936127e-9	36.76307409368887	LOCALLY_SOLVED
3.5	1.5	0.1	0.5	0.2	0.9262192204625275	8.682199249285592	-2.4815148387744216e-9	36.52773301190994	LOCALLY_SOLVED
4.0	1.5	0.1	0.5	0.2	0.9259916402571812	8.707192242226705	-2.4815131506360637e-9	36.293142139375355	LOCALLY_SOLVED
4.5	1.5	0.1	0.5	0.2	0.925762651146119	8.732185170007323	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
5.0	1.5	0.1	0.5	0.2	0.9255322399978256	8.757178031816721	-2.4815091558279376e-9	35.82621102983463	LOCALLY_SOLVED
3.0	2.0	0.1	0.5	0.2	0.9262192204625275	8.632199249285593	-2.4815148387744216e-9	36.52773301190994	LOCALLY_SOLVED
3.5	2.0	0.1	0.5	0.2	0.9259916402571812	8.657192242226705	-2.4815131506360637e-9	36.29314213937536	LOCALLY_SOLVED
4.0	2.0	0.1	0.5	0.2	0.925762651146119	8.682185170007322	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
4.5	2.0	0.1	0.5	0.2	0.9255322399978257	8.70717803181672	-2.4815091558279376e-9	35.82621102983464	LOCALLY_SOLVED
5.0	2.0	0.1	0.5	0.2	0.925300393516972	8.732170826831519	-2.481506834338481e-9	35.5938707967869	LOCALLY_SOLVED
3.0	1.0	0.15	0.5	0.2	0.925762651146119	8.732185170007323	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
3.5	1.0	0.15	0.5	0.2	0.9254164970113957	8.769674437725408	-2.4815080228857953e-9	35.70994713629213	LOCALLY_SOLVED
4.0	1.0	0.15	0.5	0.2	0.9250670982418508	8.807163554215439	-2.48150428647354e-9	35.36228078090105	LOCALLY_SOLVED
4.5	1.0	0.15	0.5	0.2	0.9247144089759025	8.844652516621698	-2.4815000224495443e-9	35.016302418723974	LOCALLY_SOLVED
5.0	1.0	0.15	0.5	0.2	0.9243583824829187	8.88214132202071	-2.481495202284891e-9	34.67201205676018	LOCALLY_SOLVED
3.0	1.5	0.15	0.5	0.2	0.9254164970113956	8.694674437725407	-2.4815080228857953e-9	35.709947136292136	LOCALLY_SOLVED
3.5	1.5	0.15	0.5	0.2	0.9250670982418508	8.732163554215438	-2.481504286472693e-9	35.36228078090105	LOCALLY_SOLVED
4.0	1.5	0.15	0.5	0.2	0.9247144089759025	8.769652516621699	-2.4815000224486972e-9	35.016302418723974	LOCALLY_SOLVED
4.5	1.5	0.15	0.5	0.2	0.9243583824829187	8.807141322020708	-2.481495202284891e-9	34.67201205676019	LOCALLY_SOLVED
5.0	1.5	0.15	0.5	0.2	0.9239989711425165	8.844629967419293	-2.4814897958972055e-9	34.329409702142094	LOCALLY_SOLVED
3.0	2.0	0.15	0.5	0.2	0.9250670982418508	8.657163554215439	-2.481504286472693e-9	35.36228078090105	LOCALLY_SOLVED
3.5	2.0	0.15	0.5	0.2	0.9247144089759024	8.6946525166217	-2.4815000224486972e-9	35.01630241872397	LOCALLY_SOLVED
4.0	2.0	0.15	0.5	0.2	0.9243583824829188	8.73214132202071	-2.481495202285738e-9	34.67201205676018	LOCALLY_SOLVED
4.5	2.0	0.15	0.5	0.2	0.9239989711425164	8.769629967419293	-2.4814897958963584e-9	34.32940970214209	LOCALLY_SOLVED
5.0	2.0	0.15	0.5	0.2	0.9236361264232643	8.807118449752574	-2.481483771551551e-9	33.9884953621384	LOCALLY_SOLVED
